数据来源,车辆全称,品牌车系,新车的价格,二手车的成交价,车况校正价,使用年限,车辆评级,车辆大类,车辆小类,车辆属性,城市,行驶里程,残值率,rounded_year
有辆,别克 英朗GT 2013款 1.6 手动 舒适版,别克-英朗,13.27,0.6,0.6,10.5,中,轿车,紧凑型车,合资,南阳,11.1,0.0452147701582517,10.0
有辆,大众 宝来经典 2006款 1.6 手动 豪华版HL,大众-宝来,11.88,0.25,0.25,18.17,中,轿车,紧凑型车,合资,成都,26.78,0.021043771043771,18.0
优信拍,大众 POLO两厢 2013款 1.6 自动 豪华版,大众-POLO,12.39,1.7,1.7,12.33,中,轿车,小型车,合资,上海,7.22,0.1372074253430185,12.0
优信拍,丰田 卡罗拉 2017款 改款 1.2T 自动 S-CVT GL,丰田-卡罗拉,13.68,2.5,2.86,7.33,差,轿车,紧凑型车,合资,襄阳,7.99,0.2090643274853801,7.0
有辆,铃木 奥拓 2010款 1.0 手动 炫酷版,铃木-奥拓,5.39,0.45,0.49,13.5,差,轿车,微型车,合资,文山壮族苗族自治州,12.57,0.0909090909090909,14.0
优信拍,哈弗 哈弗H6 2016款 1.5T 自动 升级版精英型前驱,哈弗-H6,13.28,0.85,0.97,8.92,差,SUV,紧凑型车,国产,东莞,12.3,0.0730421686746988,9.0
优信拍,奥迪 A6L 2012款 2.5 自动 30FSI豪华型,奥迪-A6,65.3,5.4,5.4,12.58,中,轿车,中大型车,合资,上海,16.29,0.0826952526799387,13.0
优信拍,现代 瑞纳三厢 2014款 1.4 手动 GLS智能型,现代-瑞纳,7.89,0.98,0.98,10.83,中,轿车,小型车,合资,嘉兴,6.62,0.1242078580481622,11.0
有辆,五菱 宏光 2013款 1.5 手动 豪华型7-8座,五菱-宏光,6.98,0.28,0.32,10.83,差,MPV,微型车,国产,株洲,10.45,0.0458452722063037,11.0
优信拍,雪佛兰 迈锐宝 2014款 2.0 自动 豪华版,雪佛兰-迈锐宝,18.69,1.56,1.56,9.75,中,轿车,中型车,合资,哈尔滨,19.02,0.0834670947030497,10.0
优信拍,东风风行 景逸X3 2016款 1.5 手动 舒适型5座,风行-景逸,6.99,0.7,0.64,9.08,优,轿车,紧凑型车,国产,郑州,7.89,0.0915593705293276,9.0
有辆,福特 福克斯-三厢 2012款 1.6 双离合 舒适型,福特-福克斯,13.09,0.32,0.36,12.75,差,轿车,紧凑型车,合资,烟台,10.0,0.027501909854851,13.0
优信拍,现代 索纳塔 2013款 2.4 自动 GLX豪华版 国IV,现代-索纳塔,19.99,1.77,1.77,12.17,中,轿车,中型车,合资,天津,13.34,0.088544272136068,12.0
有辆,丰田 凯美瑞 2011款 2.4 手自一体 240G 经典型周年纪念版,丰田-凯美瑞,21.58,1.35,1.54,13.92,差,轿车,中型车,合资,大连,33.63,0.0713623725671918,14.0
优信拍,大众 POLO两厢 2016款 1.4 手动 风尚型,大众-POLO,7.59,1.8,1.8,9.25,中,轿车,小型车,合资,邯郸,8.43,0.2371541501976284,9.0
优信拍,日产 天籁 2008款 2.0 自动 XL舒适版,日产-天籁,19.98,0.69,0.79,15.58,差,轿车,中型车,合资,杭州,18.19,0.0395395395395395,16.0
优信拍,丰田 卡罗拉 2019款 1.8 自动 GL-i双擎精英版 混动,丰田-卡罗拉,15.98,6.02,5.51,5.0,优,轿车,紧凑型车,合资,昆明,4.99,0.3448060075093867,5.0
优信拍,奔驰 C级 2017款 2.0T 自动 C200L运动版 改款,奔驰-C级,35.38,7.97,7.97,8.17,中,轿车,中型车,合资,天津,13.71,0.2252685132843414,8.0
