"vehicle_id","上牌日期","车龄","行驶里程","车辆评分","车辆评级","成交日期","成交价格","业务类型","品牌","车系","车型","城市","是否火烧","是否水泡","是否事故","level_id","力扬指导价格"
464280,2016-04-18,9,6.24,"30",D,2025-10-28,8200,YL,标致,"308",标致 308 2014款 1.6 手动 乐享版优尚型,大连市,否,否,否,CDP0416M0015,"10.59"
479027,2011-12-05,14,16.0,"30",D,2025-10-28,9700,YL,日产,逍客,日产 逍客 2010款 2.0 无级 20S 火 两驱,大连市,否,否,否,CDN0820C0016,"17.78"
478615,2009-12-28,16,20.0,"0n",ull,2025-10-27,4800,YL,大众,速腾,大众 速腾 2010款 1.4TSI 双离合 技术版,宁波市,否,否,否,CFV0514D0003,"16.28"
463129,2016-01-13,9,3.85,"60",B,2025-10-27,15500,YL,雪铁龙,C4,雪铁龙 C4L 2015款 1.6THP 手自一体 旗舰版,上海市,否,否,否,CDC0316A0024,"18.99"
477233,2022-09-30,3,7.72,"80",B,2025-10-27,43000,YL,标致,"408",标致 408 2022款 1.6T 手自一体 进取版,西安市,否,否,否,CDP0216A0056,"10.57"
464922,2022-09-27,3,0.7,"80",D,2025-10-28,218500,YL,宝马,"5系",宝马 530Li 2022款 2.0T 手自一体 领先型 M运动套装(改款),南昌市,否,否,是,CBM0220A0250,"46.89"
474707,2010-11-01,15,20.0,"0n",ull,2025-10-27,3900,YL,日产,骊威,日产 骊威 2010款 1.6 手动 劲锐版 GX 标准型,宁波市,否,否,否,CDN0916M0041,"9.98"
479393,2008-05-04,17,16.0,"0n",ull,2025-10-27,2400,YL,大众,捷达,大众 捷达 2004款 1.6 手动 CIF 都市春天基本版,长沙市,否,否,否,CFV0116M0233,"11.98"
467590,2014-10-29,11,11.88,"50",C,2025-10-27,4600,YL,现代,瑞纳,现代 瑞纳 2014款 1.4 自动 GLS 智能型,深圳市,否,否,否,CBH0914A0078,"8.69"
479315,2013-02-21,12,10.1,"60",B,2025-10-27,15100,YL,现代,索纳塔,现代 第八代索纳塔 2011款 2.0 手自一体 GLX 豪华型,成都市,否,否,否,CBH0120A0069,"18.99"
469239,2024-04-17,1,3.8,"60",D,2025-10-27,189700,YL,雷克萨斯,ES,雷克萨斯 ES300h 2021款 2.5 无级 卓越版,宁波市,否,否,是,JTL0125C0057,"37.89"
479354,2016-12-29,9,13.3,"50",D,2025-10-28,10400,YL,雪铁龙,C4世嘉,雪铁龙 C4世嘉 2016款 1.6 手自一体 舒适型,武汉市,否,否,是,CDC0716A0001,"11.98"
479514,2018-04-08,7,6.72,"60",C,2025-10-28,9200,YL,吉利,远景,吉利 远景 2018款 1.5 手动 进取型,大连市,否,否,否,CGE0615M0018,"5.39"
478447,2017-03-06,8,10.5,"50",C,2025-10-28,14000,YL,大众,捷达,大众 捷达 2017款 1.5 手动 时尚型,哈尔滨市,否,否,是,CFV0115M0001,"8.56"
475311,2013-10-28,12,7.3,"50",C,2025-10-28,19500,YL,日产,骐达,日产 骐达 2011款 1.6 无级 XL 智能型,大连市,否,否,否,CDN0616C0002,"12.53"
460176,2011-01-11,14,25.0,"0n",ull,2025-10-27,5700,YL,现代,ix35,现代 ix35 2010款 2.0 手自一体 GLS 两驱精英型,苏州市,否,否,否,CBH0720A0004,"19.58"
479527,2020-10-30,5,7.33,"30",A,2025-10-28,35600,YL,日产,轩逸,日产 轩逸 2019款 1.6 无级 XE 舒适版,大连市,否,否,否,CDN0416C0056,"12.9"
478609,2015-08-25,10,1.0,"60",C,2025-10-28,24000,YL,大众,速腾,大众 速腾 2015款 1.6 手自一体 舒适型,咸宁市,否,否,否,CFV0516A0054,"15.08"
477879,2014-11-04,11,8.51,"80",D,2025-10-27,11100,YL,雪铁龙,C4,雪铁龙 C4L 2014款 1.8 手自一体 智驱版劲智版,西安市,否,否,否,CDC0318A0005,"15.89"
479091,2011-01-21,14,17.1,"50",C,2025-10-27,10200,YL,丰田,,丰田 卡罗拉 2011款 1.6 自动 GL 纪念版,郑州市,否,否,是,CFT0716A0016,"14.08"
479083,2014-12-04,11,11.5,"60",C,2025-10-27,8200,YL,丰田,威驰,丰田 威驰 2014款 1.3 手动 超值版,烟台市,否,否,否,CFT0213M0045,"6.98"
