sample_idx,family_curve,allow_curve_fallback_curve,vehicle_name,brand,series,brand_series,grade,years,mileage_wan,city,actual_price,price_seg,age_seg,energy_type,mileage_bucket,price_extreme_bucket,success_curve,error_message_curve,new_price_curve,predicted_price_curve,residual_rate_curve,c2b_low_curve,c2b_high_curve,b2b_low_curve,b2b_high_curve,hit_c2b_curve,hit_b2b_curve,abs_error_curve,abs_pct_error_curve,debug_model_used_curve,debug_model_name_curve,debug_model_type_curve,debug_model_family_curve,debug_final_model_family_curve,debug_requested_model_family_curve,debug_fallback_triggered_curve,debug_fallback_reason_curve,family_lightgbm,allow_curve_fallback_lightgbm,success_lightgbm,error_message_lightgbm,new_price_lightgbm,predicted_price_lightgbm,residual_rate_lightgbm,c2b_low_lightgbm,c2b_high_lightgbm,b2b_low_lightgbm,b2b_high_lightgbm,hit_c2b_lightgbm,hit_b2b_lightgbm,abs_error_lightgbm,abs_pct_error_lightgbm,debug_model_used_lightgbm,debug_model_name_lightgbm,debug_model_type_lightgbm,debug_model_family_lightgbm,debug_final_model_family_lightgbm,debug_requested_model_family_lightgbm,debug_fallback_triggered_lightgbm,debug_fallback_reason_lightgbm
31,curve,True,"中升车源
大众/朗逸/2013款 1.6 手动 经典舒适版 改款","中升车源
大众",朗逸,"中升车源
大众-朗逸",中,11.08,14.279,武汉,1.49,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
32,curve,True,长安/UNI-T/2022款 1.5T 自动 旗舰型,长安,UNI-T,长安-UNI-T,优,3.83,3.563,武汉,6.4,5-10万,3-5年,燃油,低里程,中间价,True,,12.99,4.15,0.3193,4.17,4.56,4.35,4.75,False,False,2.25,35.15625,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,12.99,5.13,0.3953,5.17,5.63,5.38,5.86,False,False,1.2700000000000005,19.843750000000007,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
33,curve,True,别克/君越/2013款 2.4 自动 领先舒适型,别克,君越,别克-君越,差,10.0,9.2278,北京,2.67,1-3万,>10年,燃油,低里程,中间价,True,,23.59,2.46,0.1043,1.81,2.19,1.91,2.36,False,False,0.20999999999999996,7.8651685393258415,brand_series,别克-君越,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,23.59,2.74,0.116,2.03,2.45,2.13,2.63,False,False,0.07000000000000028,2.621722846441958,brand_series,别克-君越,LightGBM,lightgbm,lightgbm,lightgbm,False,
34,curve,True,"中升车源
大众/高尔夫/2011款 1.6 自动 舒适型","中升车源
大众",高尔夫,"中升车源
大众-高尔夫",差,15.0,11.6341,天津,1.4,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
35,curve,True,别克/英朗三厢/2015款 1.5 手动 15N精英型,别克,英朗三厢,别克-英朗三厢,差,10.83,9.5485,南京,1.23,1-3万,>10年,燃油,低里程,中间价,True,,11.69,1.61,0.1373,1.15,1.4,1.21,1.59,True,True,0.3800000000000001,30.894308943089438,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,11.69,1.41,0.1203,1.0,1.22,1.06,1.4,False,True,0.17999999999999994,14.634146341463412,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
36,curve,True,哈弗/哈弗H2/2015款 1.5T 自动 精英型前驱,哈弗,哈弗H2,哈弗-哈弗H2,差,10.25,4.8022,海口,1.38,1-3万,>10年,燃油,低里程,中间价,True,,14.58,1.48,0.1016,1.06,1.29,1.11,1.47,False,True,0.10000000000000009,7.24637681159421,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,14.58,1.05,0.072,0.72,0.88,0.77,1.07,False,False,0.32999999999999985,23.91304347826086,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
37,curve,True,标致/308/2018款 1.6 自动 豪华版,标致,308,标致-308,中,7.33,8.7062,苏州,2.63,1-3万,5-8年,燃油,低里程,中间价,True,,11.57,2.0,0.1724,1.69,2.06,1.75,2.23,False,False,0.6299999999999999,23.95437262357414,brand_series,标致-308,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,11.57,2.15,0.186,1.83,2.23,1.93,2.36,False,False,0.48,18.250950570342205,brand_series,标致-308,LightGBM,lightgbm,lightgbm,lightgbm,False,
38,curve,True,比亚迪/宋PLUS新能源/2025款 DM-i 智驾版 1.5L 自动 112KM 尊贵型,比亚迪,宋PLUS新能源,比亚迪-宋PLUS新能源,优,0.5,0.4523,宿迁,8.68,5-10万,0-3年,新能源,低里程,中间价,True,,17.58,9.47,0.5388,9.52,10.27,9.9,10.69,False,False,0.7900000000000009,9.101382488479274,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,17.58,9.63,0.5476,9.67,10.44,10.06,10.86,False,False,0.9500000000000011,10.944700460829505,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,
39,curve,True,"中升车源
大众/速腾/2015款 1.6 手动 舒适型","中升车源
大众",速腾,"中升车源
大众-速腾",中,10.0,12.8752,天津,2.66,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
40,curve,True,现代/瑞纳三厢/2017款 1.4L 手动 焕新版 国V,现代,瑞纳三厢,现代-瑞纳三厢,差,7.0,4.3145,保定,2.8,1-3万,5-8年,燃油,低里程,中间价,True,,4.99,1.64,0.3282,1.18,1.43,1.23,1.63,False,False,1.16,41.42857142857142,car_type,轿车-小型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,4.99,1.63,0.3267,1.17,1.42,1.23,1.63,False,False,1.17,41.785714285714285,car_type,轿车-小型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
